full_name;docente_nombre;specialization_instrument;grado;paralelo;tipo_asignacion;email_estudiante;docente_email
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Vientos;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Guitarras;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Guitarras;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Guitarras;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Frotadas;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Teclados;FALTANTE;FALTANTE
Apellidos Del Estudiante Nombres Del Estudiante;Maestro De Instrumento;Instrumento Que Estudia En El Conservatorio Bolívar;Año de estudio;PARALELO (señalar el mismo paralelo en el que estuvieron el año anterior);Teclados;FALTANTE;FALTANTE
